audio,sentence
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_quan/1fb98f57-0533-4dcb-91f6-029685387e67.wav,"Các thầy, cô giáo cũng xác định được tinh thần, trách nhiệm của mình để truyền đạt những kiến thức"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/1e591fb5-c31e-4ec6-b18a-fcf197f31413.wav,"ứng dụng công nghệ thông tin, đẩy mạnh chuyển đổi số."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_1_manh/dc0e2730-c42b-4372-9aef-ba678fe1d81a.wav,"mà còn là người trực tiếp hướng dẫn bà con về kỹ thuật trồng cây dong riêng. Ngoài ra, gia đình ông nhận thu mua sản phẩm dong,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_10_quan/adc99a4c-c3d1-4f1e-a080-3ac26f5d7037.wav,sẽ trở thành mối nguy hại đối với môi trường và sức khỏe con người.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_7_quan/8affc113-7054-41cf-a632-88aed2f73ee4.wav,"Sự phối hợp chặt chẽ giữa Phòng Giao dịch Ngân hàng Chính sách xã hội huyện Văn Lãng với Cấp uỷ, chính quyền địa phương,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/4f6fae8b-7659-4b43-a342-825092d16402.wav,"Thì là thứ nhất ở xã chúng tôi thì không mạng thì kém và tất cả các dân số thì đều là hộ nghèo, cận ngheo."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/63559e16-714c-4cd9-b61d-6038b50e2c2e.wav,"thông qua các buổi họp thôn và các buổi họp giao ban tại trụ sở Ngân hàng, UBND xã, qua các phiên giao dịch."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_19_quan/1e72460b-29ef-4658-91a8-39fc4a275cb4.wav,"đã tích cực tuyền truyền, trang bị kỹ năng, kiến thức về chuyển đổi số cho cán bộ, hội viên;"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/a9a8ca91-c1e1-4868-8ee8-b0f5a9452b74.wav,"Từng cán bộ, công chức đều thực hiện nghiêm túc việc đeo thẻ ghi tên, chức danh hiện rõ tính chuyên nghiệp, sự tôn trọng đối với khách và người dân đến liên hệ"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_8_quan/45f54578-398b-4a75-8515-39ed37eae4d4.wav,"dịch bệnh Covid-19, với hơn gần 189 nghìn lượt dân quân tự vệ tham gia."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/51ebb5f9-46d9-4546-997e-26780d334435.wav,"Đến nay, gia đình chị Phương đã có hơn 20 hecta keo và bạch đàn."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_5_quan/94ab4714-08a1-4c4c-9cef-03d238f48561.wav,"giúp việc giao thương, đi lại của nhân dân thuận tiện hơn."
